Kategori,Rekening,Jumlah,Tanggal,Catatan,Tipe
Kirim Saldo,MANDIRI,"10,659",2025-03-26 22:22,Ke BCA Blu,-
Terima Saldo,BCA Blu,"10,659",2025-03-26 22:22,Dari MANDIRI,+
Kirim Saldo,BCA Blu,"730,600",2025-03-26 22:18,Ke BANK BNI,-
Terima Saldo,BANK BNI,"730,600",2025-03-26 22:18,Dari BCA Blu,+
Kirim Saldo,DOMPET,"72,000",2025-03-26 22:18,Ke MANDIRI,-
Terima Saldo,MANDIRI,"72,000",2025-03-26 22:18,Dari DOMPET,+
Kirim Saldo,GOPAY,"18,564",2025-03-26 22:18,Ke MANDIRI,-
Terima Saldo,MANDIRI,"18,564",2025-03-26 22:18,Dari GOPAY,+
Belanja,BANK BNI,"150,000",2025-03-26 22:01,Belanja Sebelum Pulang,-
Gaji Maxximum,MANDIRI,"13,000,000",2025-03-26 15:47,Gaji Bulan Maret 2025 + THR,+
Gaji Cempor,BANK BNI,"993,500",2025-03-26 10:00,Latsar Film Pendek,+
Tambah Pinjaman,BANK BNI,"100,000",2025-03-25 07:18,Dibayar Abis Kerja,-
Makanan,DOMPET,"20,000",2025-03-25 01:34,,-
Makanan,BCA Blu,"50,000",2025-03-24 13:25,Bukber,-
Bensin,MANDIRI,"50,000",2025-03-23 22:01,,-
Belanja,MANDIRI,"58,773",2025-03-23 22:01,,-
Laundry,MANDIRI,"20,000",2025-03-23 22:00,Permak Celana,-
Motor,MANDIRI,"15,000",2025-03-23 22:00,Cuci Motor,-
Kesehatan,MANDIRI,"20,000",2025-03-23 22:00,Pangkas Rambut,-
Kirim Saldo,MANDIRI,"105,127",2025-03-23 21:52,Ke BANK BNI,-
Terima Saldo,BANK BNI,"105,127",2025-03-23 21:52,Dari MANDIRI,+
Kirim Saldo,MANDIRI,"501,000",2025-03-23 21:51,Ke DOMPET,-
Terima Saldo,DOMPET,"501,000",2025-03-23 21:51,Dari MANDIRI,+
Belanja,MANDIRI,"170,000",2025-03-22 21:37,Mingguan,-
Motor,BANK BNI,"450,000",2025-03-22 16:12,,-
Kirim Saldo,DOMPET,"50,000",2025-03-20 21:23,Ke BANK BNI,-
Terima Saldo,BANK BNI,"50,000",2025-03-20 21:23,Dari DOMPET,+
Bensin,DOMPET,"20,000",2025-03-20 20:36,,-
Belanja,DOMPET,"40,000",2025-03-20 20:36,,-
Belanja,BCA Blu,"63,500",2025-03-20 09:09,Chat GPT,-
Belanja,BANK BNI,"100,000",2025-03-18 22:23,,-
Bensin,BANK BNI,"100,000",2025-03-18 22:23,,-
Transfer Amplop,BANK BNI,"540,000",2025-03-18 22:23,,-
Makanan,BANK BNI,"75,000",2025-03-18 22:22,,-
Kirim Saldo,SHOPEE PAY,"47,958",2025-03-18 22:21,Ke BANK BNI,-
Terima Saldo,BANK BNI,"47,958",2025-03-18 22:21,Dari SHOPEE PAY,+
Kirim Saldo,BANK BNI,"92,000",2025-03-18 22:20,Ke BANK BRI,-
Terima Saldo,BANK BRI,"92,000",2025-03-18 22:20,Dari BANK BNI,+
Kirim Saldo,DOMPET,"339,000",2025-03-18 22:20,Ke BANK BNI,-
Terima Saldo,BANK BNI,"339,000",2025-03-18 22:20,Dari DOMPET,+
Kirim Saldo,MANDIRI,"57,600",2025-03-18 22:19,Ke BANK BNI,-
Terima Saldo,BANK BNI,"57,600",2025-03-18 22:19,Dari MANDIRI,+
Elektronik,MANDIRI,"1,500,000",2025-03-18 21:07,HP Oppo Reno 13 F 5G,-
Spay Later,SHOPEE PAY,"450,000",2025-03-18 21:04,,-
Kirim Saldo,MANDIRI,"150,000",2025-03-18 21:03,Ke SHOPEE PAY,-
Terima Saldo,SHOPEE PAY,"150,000",2025-03-18 21:03,Dari MANDIRI,+
Kost,DOMPET,"750,000",2025-03-18 20:59,,-
Transfer Amplop,DOMPET,"500,000",2025-03-18 20:57,THR KLG Ayang,-
Kirim Saldo,MANDIRI,"1,750,000",2025-03-18 19:23,Ke DOMPET,-
Terima Saldo,DOMPET,"1,750,000",2025-03-18 19:23,Dari MANDIRI,+
Tagih Hutang,SHOPEE PAY,"350,000",2025-03-18 18:48,,+
Kuota Internet,MANDIRI,"125,000",2025-03-18 08:13,,-
Ayang,BANK BNI,"235,760",2025-03-16 20:09,Body Care ,-
Belanja,BANK BNI,"112,052",2025-03-16 14:18,,-
Balance,DOMPET,"68,831",2025-03-15 12:02,,-
Jajan,DOMPET,"75,000",2025-03-15 12:01,,-
Bensin,DOMPET,"100,000",2025-03-15 12:01,,-
Makanan,DOMPET,"163,223",2025-03-15 12:00,,-
Makanan,DOMPET,"45,000",2025-03-15 12:00,Bukber,-
Lampu,DOMPET,"35,000",2025-03-15 11:59,,-
Kirim Saldo,MANDIRI,"130,245",2025-03-15 11:57,Ke DOMPET,-
Terima Saldo,DOMPET,"130,245",2025-03-15 11:57,Dari MANDIRI,+
Kirim Saldo,BANK BRI,"209,689",2025-03-15 11:57,Ke DOMPET,-
Terima Saldo,DOMPET,"209,689",2025-03-15 11:57,Dari BANK BRI,+
Kirim Saldo,BANK BNI,"9,120",2025-03-15 11:56,Ke DOMPET,-
Terima Saldo,DOMPET,"9,120",2025-03-15 11:56,Dari BANK BNI,+
Gaji Maxximum,MANDIRI,"560,000",2025-03-15 11:45,SPPD Jakarta,+
Gaji Cempor,BANK BNI,"203,500",2025-03-15 11:44,Talent Mapping Film Pendek,+
Belanja,BANK BNI,"70,000",2025-03-11 17:47,Belanja Buka,-
